Zc,E0Tn,betaTn
29.44000000,245254.14000000,0.06000000
29.44000000,413234.45000000,0.01000000
29.44000000,280369.41000000,0.04000000
29.44000000,315685.89000000,0.04000000
29.44000000,205018.52000000,0.08000000
29.44000000,150170.56000000,0.11000000
29.44000000,255614.54000000,0.06000000
29.44000000,236254.30000000,0.07000000
29.44000000,448468.22000000,0.01000000
29.44000000,148677.63000000,0.11000000
29.44000000,264447.83000000,0.05000000
29.44000000,324588.74000000,0.04000000
29.44000000,222288.44000000,0.07000000
29.44000000,201050.51000000,0.08000000
29.44000000,198197.41000000,0.07000000
29.44000000,189857.08000000,0.08000000
29.44000000,370801.88000000,0.03000000
29.44000000,374630.03000000,0.02000000
29.44000000,145824.05000000,0.08000000
29.44000000,415907.05000000,0.01000000
29.44000000,193068.87000000,0.08000000
29.44000000,177888.78000000,0.09000000
29.44000000,429257.64000000,0.01000000
29.44000000,192172.95000000,0.08000000
29.44000000,342004.70000000,0.03000000
29.44000000,197744.62000000,0.08000000
29.44000000,375257.85000000,0.02000000
29.44000000,211962.37000000,0.07000000
29.44000000,263115.74000000,0.06000000
29.44000000,324829.35000000,0.04000000
29.44000000,220415.23000000,0.07000000
29.44000000,218917.76000000,0.07000000
29.44000000,232884.81000000,0.06000000
29.44000000,276026.28000000,0.05000000
29.44000000,95441.22000000,0.15000000
29.44000000,230866.10000000,0.07000000
29.44000000,259095.46000000,0.06000000
29.44000000,447784.19000000,0.01000000
29.44000000,365816.61000000,0.02000000
29.44000000,232643.77000000,0.07000000
29.44000000,242244.17000000,0.06000000
29.44000000,188946.54000000,0.08000000
29.44000000,214916.46000000,0.07000000
29.44000000,303546.77000000,0.03000000
29.44000000,331754.21000000,0.03000000
29.44000000,331847.04000000,0.03000000
29.44000000,212298.15000000,0.08000000
29.44000000,132647.21000000,0.11000000
29.44000000,133215.74000000,0.11000000
29.44000000,286754.99000000,0.05000000
29.44000000,99493.79000000,0.14000000
29.44000000,350321.78000000,0.03000000
29.44000000,219553.18000000,0.07000000
29.44000000,176845.87000000,0.08000000
29.44000000,240683.64000000,0.06000000
29.44000000,400318.52000000,0.01000000
29.44000000,155954.50000000,0.10000000
29.44000000,300574.96000000,0.04000000
29.44000000,416712.66000000,0.01000000
29.44000000,283926.49000000,0.05000000
29.44000000,265393.60000000,0.05000000
29.43000000,372346.65000000,0.02000000
29.44000000,207239.86000000,0.07000000
29.43000000,101948.95000000,0.14000000
