Zc,E0Tn,betaTn,elastic
-4763.65757530,0.75029385,0.00068722,0.75029381
-4743.17789116,0.75220904,0.00068897,0.75220900
-4741.96587698,0.74912373,0.00068614,0.74912369
-4725.96317217,0.75200457,0.00068880,0.75200453
-4703.47807502,0.75007667,0.00068703,0.75007663
-4707.43529423,0.74838130,0.00068546,0.74838126
-4697.47897134,0.74974719,0.00068674,0.74974715
-4684.91376305,0.75099993,0.00068786,0.75099989
-4671.45099135,0.75236257,0.00068910,0.75236253
-4662.59888368,0.75184785,0.00068864,0.75184781
-4653.52374177,0.75173437,0.00068854,0.75173433
-4640.21234013,0.75309157,0.00068979,0.75309153
-4633.16585956,0.75132161,0.00068815,0.75132157
-4624.71448193,0.74992755,0.00068688,0.74992751
-4621.16304217,0.74675721,0.00068398,0.74675717
-4605.68777178,0.74935910,0.00068637,0.74935907
-4590.71201760,0.74867191,0.00068573,0.74867187
-4581.41189923,0.75028796,0.00068720,0.75028793
-4570.60994691,0.74911390,0.00068614,0.74911386
-4560.86363142,0.75142425,0.00068827,0.75142421
-4558.24021729,0.74693483,0.00068414,0.74693480
-4539.85318641,0.75135034,0.00068818,0.75135030
-4540.90240800,0.74736526,0.00068685,0.74736522
-4517.76521565,0.74942100,0.00068643,0.74942096
-4506.76258925,0.74988518,0.00068686,0.74988514
-4540.30784373,0.73478626,0.00067302,0.73478622
-4519.58188604,0.73862105,0.00067653,0.73862101
-4598.39680108,0.70751993,0.00064803,0.70751989
-4648.65891264,0.69519230,0.21454367,0.69112501
-4651.93569524,0.71084375,0.00065109,0.71084372
-4443.54504230,0.74858260,0.00068567,0.74858256
-4600.22383086,0.71506025,0.00065494,0.71506021
-4599.62651983,0.71119843,0.03394997,0.71109916
-4438.32320234,0.74321898,0.00068074,0.74321894
-4417.82693180,0.74870872,0.00068576,0.74870868
-4415.08787021,0.74519101,0.00068255,0.74519097
-4468.14863292,0.71913390,0.02372325,0.71908597
-4387.04084801,0.74992451,0.00068687,0.74992447
-4375.74956439,0.74980496,0.00068676,0.74980492
-4366.45267832,0.75215409,0.00068891,0.75215406
-4362.63109677,0.74988842,0.00068686,0.74988839
-4355.11058239,0.74747990,0.00068464,0.74747986
-4337.24463090,0.75235136,0.00068914,0.75235133
-4334.92080140,0.74939767,0.00068639,0.74939763
-4321.64959365,0.74826608,0.00068539,0.74826604
-4316.95525940,0.74690394,0.00068411,0.74690390
-4297.39119648,0.75028464,0.00068721,0.75028460
-4286.78865487,0.74700390,0.00068420,0.74700387
-4271.12617672,0.75031427,0.00068724,0.75031423
-4270.80809400,0.74702510,0.00068422,0.74702506
-4259.41799452,0.75097868,0.00068785,0.75097864
-4246.80003830,0.75171478,0.00068852,0.75171474
-4228.82530918,0.75162063,0.00068842,0.75162059
-4237.24372534,0.74732602,0.00068665,0.74732598
-4225.61003622,0.74706434,0.00068425,0.74706430
-4210.18367322,0.74917230,0.00068618,0.74917226
-4195.72071117,0.75088527,0.00068776,0.75088524
-4201.09803340,0.74907707,0.00068609,0.74907703
-4175.82572786,0.75022842,0.00068715,0.75022838
-4172.33307544,0.74786489,0.00068498,0.74786485
-4165.49252458,0.74555270,0.00068287,0.74555266
-4154.74357448,0.74684163,0.00068406,0.74684159
-4140.56404542,0.75055422,0.00068745,0.75055418
-4124.53985622,0.75205866,0.00068884,0.75205862
-4129.97089218,0.74964947,0.00068662,0.74964943
-4153.56585729,0.74696816,0.00068417,0.74696813
-4167.16739043,0.74624179,0.00068350,0.74624175
-4179.71092468,0.74810264,0.00068520,0.74810260
-4192.07898040,0.74825318,0.00068537,0.74825314
-4209.07825007,0.74758054,0.00068475,0.74758050
