Zc,E0Tn,betaTn,elastic
-4009.54203714,0.76029784,0.00069637,0.76029780
-3999.32438566,0.75725356,0.00069358,0.75725352
-3986.72763716,0.75999580,0.00069610,0.75999576
-4002.69008174,0.74602116,0.00068331,0.74602112
-3971.79836624,0.75925444,0.00069542,0.75925440
-3971.54337094,0.75829236,0.00081497,0.75829231
-3955.28961060,0.76123651,0.00069724,0.76123647
-3959.48252803,0.75698342,0.00069335,0.75698338
-3953.06270630,0.75821976,0.00069447,0.75821972
-3941.70323051,0.75975349,0.00069588,0.75975345
-3937.69676197,0.75817190,0.00069443,0.75817186
-3932.39582023,0.75992559,0.00075286,0.75992554
-3922.63175804,0.75970818,0.00069585,0.75970814
-3917.35443846,0.76003806,0.00069614,0.76003802
-3914.22604354,0.75778715,0.00069408,0.75778712
-3904.96233542,0.75835648,0.00069459,0.75835644
-3899.01808019,0.75783327,0.00069413,0.75783324
-3894.61503943,0.75979492,0.00069591,0.75979488
-3883.81948995,0.75756207,0.00069387,0.75756203
-3872.94328559,0.75878147,0.00069498,0.75878143
-3868.46214755,0.75820162,0.00069445,0.75820158
-3858.09510913,0.76121436,0.00069724,0.76121432
-3857.53332087,0.75830970,0.00069455,0.75830967
-3846.24704484,0.75861305,0.00069706,0.75861301
-3846.56027910,0.75937509,0.00069553,0.75937505
-3844.63796355,0.75792842,0.00069423,0.75792838
-3839.46295741,0.75843340,0.00069469,0.75843336
-3829.13751495,0.75741109,0.00069373,0.75741105
-3823.01740321,0.75682754,0.00069321,0.75682750
-3810.22208372,0.76026184,0.00069637,0.76026180
-3808.08126386,0.75850915,0.00069476,0.75850911
-3803.68732669,0.75828739,0.00070177,0.75828735
-3797.78388375,0.75663093,0.00069302,0.75663089
-3787.53565185,0.75984908,0.00069596,0.75984904
-3784.29482409,0.75765460,0.00069396,0.75765456
-3772.01377110,0.76147925,0.00069746,0.76147921
-3771.70032123,0.75789149,0.00069417,0.75789145
-3760.33455816,0.75805309,0.00069432,0.75805305
-3755.66999479,0.75857563,0.00072934,0.75857558
-3748.29176610,0.75886447,0.00090840,0.75886440
-3744.59120166,0.75652457,0.00069292,0.75652453
-3735.22353573,0.75727401,0.00069360,0.75727397
-3732.60077458,0.75807872,0.00069494,0.75807868
-3719.62130140,0.75838096,0.00069462,0.75838092
-3722.03287268,0.75704870,0.00069341,0.75704866
-3712.43053331,0.75767707,0.00069398,0.75767703
-3702.28770400,0.76064507,0.00070943,0.76064502
-3699.59247923,0.75774642,0.00069406,0.75774638
-3691.37395563,0.75731662,0.00069367,0.75731658
-3677.05728011,0.75892935,0.00069512,0.75892931
-3673.15208238,0.75911321,0.00069529,0.75911317
-3669.33392733,0.75910201,0.00069538,0.75910197
-3662.17174290,0.75585375,0.00069230,0.75585371
-3654.46033334,0.75807000,0.00069436,0.75806996
-3653.10470202,0.75639003,0.00069280,0.75638999
-3646.53763997,0.75741352,0.00069373,0.75741348
-3636.76388262,0.75804032,0.00069431,0.75804028
-3631.54946398,0.75682182,0.00069321,0.75682178
-3628.65304767,0.75677776,0.00071413,0.75677772
-3620.22184530,0.75884592,0.00073294,0.75884588
-3605.56458693,0.75986481,0.00069600,0.75986477
-3596.72132481,0.75812834,0.00069439,0.75812831
-3595.11731648,0.75854172,0.00069477,0.75854168
-3591.17112990,0.75669179,0.00069308,0.75669175
-3600.43424789,0.75595249,0.00069240,0.75595245
-3600.29447738,0.75646256,0.00069286,0.75646252
-3613.94733934,0.75669107,0.00069307,0.75669103
-3618.81350100,0.75858349,0.00069482,0.75858346
-3626.51127161,0.75734814,0.00080520,0.75734809
-3632.56867264,0.75965736,0.00069721,0.75965732
-3637.09722589,0.75922229,0.00069539,0.75922225
-3649.83101872,0.75915127,0.00069534,0.75915123
