Zc,E0Tn,betaTn,elastic
1.72000000,0.33646527,0.00000000,0.33646527
1.72000000,0.33646527,0.00000000,0.33646527
1.72000000,0.33646527,0.00000000,0.33646527
1.72000000,0.33646527,0.00000000,0.33646527
1.72000000,0.33646527,0.00000000,0.33646527
1.72000000,0.33646527,0.00000000,0.33646527
1.72000000,0.33646527,0.00000000,0.33646527
3.83000000,0.33541683,0.20787454,0.26323492
3.38000000,0.27032599,0.20048784,0.18133055
2.57000000,0.34116432,0.16395735,0.29918403
3.50000000,0.28959701,0.19425725,0.21478023
3.86000000,0.32418331,0.00000000,0.32418331
3.86000000,0.32418331,0.00000000,0.32418331
2.43000000,0.30044529,0.14438852,0.26347547
3.87000000,0.31846337,0.20560882,0.24319525
1.88000000,0.30468602,0.13741648,0.27193801
1.88000000,0.30468602,0.13741648,0.27193801
3.64000000,0.38082678,0.11282968,0.36372861
2.21000000,0.26341536,0.14173916,0.22203077
2.21000000,0.26341536,0.14173916,0.22203077
3.38000000,0.36038906,0.14069202,0.33179214
3.38000000,0.36038906,0.14069202,0.33179214
3.38000000,0.36038906,0.14069202,0.33179214
1.78000000,0.29778274,0.18455082,0.23369971
1.70000000,0.30439182,0.22575283,0.20418138
2.59000000,0.20229964,0.05993644,0.19321689
1.71000000,0.26470217,0.22311541,0.14243157
3.25000000,0.35460062,0.12744622,0.33090642
3.25000000,0.35460062,0.12744622,0.33090642
3.54000000,0.39013473,0.17595471,0.34820260
4.11000000,0.38784996,0.23006474,0.31224639
1.27000000,0.16616042,0.12688877,0.10727780
3.31000000,0.30717577,0.16528586,0.25891609
3.84000000,0.32400989,0.16512083,0.27877862
3.25000000,0.28454118,0.22907559,0.16878407
2.40000000,0.32801525,0.15763815,0.28765295
3.10000000,0.36363768,0.16400427,0.32455347
3.35000000,0.37166353,0.15644610,0.33713261
3.35000000,0.37166353,0.15644610,0.33713261
3.50000000,0.37805879,0.18168816,0.33153863
3.00000000,0.37400200,0.12268195,0.35330813
3.80000000,0.27041374,0.17458664,0.20650204
2.02000000,0.32185288,0.12564791,0.29631382
1.73000000,0.28390103,0.20407478,0.19736584
3.31000000,0.40020573,0.13127743,0.37806198
2.91000000,0.32614975,0.21057136,0.24906497
3.59000000,0.39326802,0.11651571,0.37561126
3.03000000,0.36104595,0.21416514,0.29066728
3.03000000,0.36104595,0.21416514,0.29066728
3.91000000,0.41733183,0.06941453,0.41151850
2.98000000,0.36163103,0.15222307,0.32803222
3.47000000,0.38592914,0.16245099,0.35007282
1.93000000,0.31258215,0.13157669,0.28354043
1.93000000,0.31258215,0.13157669,0.28354043
1.89000000,0.09415007,0.07388892,0.05834950
2.95000000,0.33982711,0.18285497,0.28643765
1.32000000,0.13395894,0.09312724,0.09629286
2.55000000,0.34187145,0.19348115,0.28185303
2.48000000,0.32448584,0.20110007,0.25465629
3.01000000,0.32139384,0.00000000,0.32139384
3.01000000,0.32139384,0.00000000,0.32139384
3.12000000,0.35453522,0.00000000,0.35453522
4.61000000,0.29922334,0.25745224,0.15248920
0.97000000,0.13196217,0.04328687,0.12466058
1.85000000,0.00000000,0.00000000,0.00000000
2.85000000,0.24170831,0.16803378,0.17374565
1.66000000,0.30489547,0.19684901,0.23283410
4.33000000,0.35749386,0.18218482,0.30758828
3.37000000,0.38302403,0.14952847,0.35263103
3.55000000,0.37518091,0.18030510,0.32901487
2.82000000,0.35123723,0.16879821,0.30801747
3.56000000,0.32207580,0.22390466,0.23151571
4.15000000,0.36217877,0.24294399,0.26861065
3.24000000,0.34721604,0.15659795,0.30989685
3.29000000,0.36239546,0.17416065,0.31780267
2.47000000,0.31997702,0.20658608,0.24435115
3.46000000,0.39049384,0.17611667,0.34852311
2.51000000,0.30336018,0.21806248,0.21089370
2.46000000,0.30150229,0.19465827,0.23024289
3.19000000,0.36725340,0.13199373,0.34271376
2.36000000,0.32938248,0.15829521,0.28885194
1.88000000,0.15865575,0.08536986,0.13372971
3.92000000,0.31720432,0.26151643,0.17952086
3.16000000,0.36679679,0.14319353,0.33769142
2.41000000,0.33903833,0.20111067,0.27294960
2.97000000,0.36015307,0.17308300,0.31583621
2.62000000,0.34422943,0.16543039,0.30187198
3.30000000,0.37711873,0.14722311,0.34719431
3.68000000,0.40760018,0.13370299,0.38504730
1.56000000,0.27354916,0.19016930,0.19663361
3.73000000,0.38250204,0.18382350,0.33543513
4.24000000,0.41010913,0.16010220,0.37756692
3.00000000,0.36295729,0.18496908,0.31228903
3.33000000,0.38986543,0.14012067,0.36381486
2.63000000,0.39778835,0.00000000,0.39778835
2.97000000,0.37297026,0.15699615,0.33831793
3.33000000,0.39952802,0.13105512,0.37742177
2.82000000,0.35802346,0.13976852,0.32961426
3.02000000,0.37490875,0.14636036,0.34515970
3.50000000,0.30379998,0.18828000,0.23842204
1.63000000,0.41483603,0.19936263,0.36379042
2.84000000,0.34878424,0.16761934,0.30586632
1.50000000,0.36211299,0.15242594,0.32846940
2.46000000,0.34825719,0.19709515,0.28711770
3.07000000,0.36235611,0.16342627,0.32340965
3.87000000,0.35320056,0.19989283,0.29119322
3.11000000,0.20742857,0.14910457,0.14420277
3.15000000,0.36227078,0.17410073,0.31769333
2.51000000,0.33666773,0.15184055,0.30048229
2.78000000,0.32249756,0.23918100,0.21632644
3.71000000,0.31844002,0.18889217,0.25636653
2.92000000,0.34113832,0.17384977,0.29351595
3.96000000,0.43035830,0.14116822,0.40654618
3.55000000,0.39678866,0.11755879,0.37897384
3.57000000,0.37820280,0.09991944,0.36476494
3.60000000,0.39857959,0.14325260,0.37194674
3.57000000,0.38134500,0.21582109,0.31439666
2.71000000,0.29600161,0.23230188,0.18344696
3.59000000,0.40929141,0.18459457,0.36530029
3.09000000,0.34545126,0.15580201,0.30832176
3.56000000,0.40415389,0.15777734,0.37208423
3.92000000,0.33171275,0.24601546,0.22250785
3.69000000,0.40223065,0.13194165,0.37997486
3.80000000,0.38681950,0.15101018,0.35612532
3.13000000,0.36277482,0.17434296,0.31813536
3.20000000,0.36985986,0.19901507,0.31175202
2.61000000,0.34814660,0.16731290,0.30530714
2.79000000,0.32488379,0.20975402,0.24809822
1.95000000,0.36244790,0.00000000,0.36244790
2.34000000,0.31967898,0.16291373,0.27505230
3.54000000,0.40703652,0.14629209,0.37983858
3.56000000,0.38565903,0.18534069,0.33820366
